subject,n_left,n_right,baseline,acc_all,acc_all_sd,acc_motor,acc_motor_sd,p_motor,li_left,li_right,li_contrast,erd_c3_left,erd_c4_left,erd_c3_right,erd_c4_right,motor_diff,posterior_diff,post_over_motor,peak_channel
1,23,22,0.5111111111111111,0.7133333333333334,0.05661217423491999,0.6244444444444444,0.04708804466759353,0.01990049751243781,-0.8115369470059122,-9.16775574931455,8.356218802308637,-19.022880480905755,-18.211343533899843,-13.278491783496913,-4.110736034182363,7.220555994776163,30.187494099298153,4.180771414436482,O1
2,23,22,0.5111111111111111,0.888888888888889,0.043319085976928746,0.9088888888888889,0.020964402515681314,0.004975124378109453,-5.548069109102611,-21.17242448104968,15.62435537194707,-15.987035164304416,-10.438966055201805,-36.357570503685004,-15.185146022635324,8.761281166795136,8.37064410395384,0.9554132488839882,FT8
3,23,22,0.5111111111111111,0.5733333333333335,0.06347936380926979,0.4355555555555556,0.06899633198337791,0.9601990049751243,-5.459072586357344,8.459478285627005,-13.91855087198435,-1.2071744464315537,4.251898139925791,7.635748363752105,-0.8237299218749001,5.6357482754363275,29.68996734277479,5.268150011628429,PO7
4,23,22,0.5111111111111111,0.5133333333333333,0.041514537093932005,0.47111111111111115,0.0494912387807113,0.5373134328358209,-4.0371058356201655,-7.956087876353023,3.9189820407328577,-5.002401748813762,-0.9652959131935961,-9.118295364189523,-1.1622074878364996,3.9005266579382853,2.799876400476715,0.7178200909814203,F5
5,21,24,0.5333333333333333,0.5622222222222223,0.07169895913289634,0.5733333333333333,0.056042312057415514,0.1791044776119403,5.999340412712514,-5.393948606768523,11.393289019481038,8.566300085135522,2.5669596724230077,-6.438600192846834,-1.0446515860783105,9.763859003679162,19.371071604686637,1.983956507092876,POz
6,24,21,0.5333333333333333,0.4333333333333333,0.0873477511423713,0.4688888888888889,0.06162410943938688,0.5870646766169154,-5.039726555964624,-9.13458920888198,4.094862652917357,-2.703723619156625,2.3360029368079984,-13.974453880217595,-4.839864671335614,11.973492775131737,15.783920086868205,1.3182385777732717,POz
7,23,22,0.5111111111111111,0.9844444444444445,0.010183501544346276,0.968888888888889,0.020367003088692666,0.004975124378109453,-5.373726170115663,-16.601096136110208,11.227369965994544,-17.327143911582017,-11.953417741466353,-11.83965714361567,4.761438992494539,9.308714757913515,16.412005571372873,1.7630796515083584,T9
8,22,23,0.5111111111111111,0.5888888888888888,0.052821619217798696,0.4955555555555556,0.06367355014175292,0.43781094527363185,-1.4954470145328749,-2.0238490474714563,0.5284020329385815,-19.398430548760512,-17.902983534227637,-8.55191558152706,-6.528066534055604,10.342775630211149,8.921828749433788,0.8626145503314614,Fpz
9,24,21,0.5333333333333333,0.5,0.06065486250647192,0.42000000000000004,0.054839834130013636,0.8507462686567164,-7.350521526219755,2.6592981946877723,-10.009819720907528,-11.413405170056448,-4.062883643836693,-1.8087237504148075,-4.4680219451025796,7.4998576183449135,19.049209267572746,2.539942787844094,PO8
10,24,21,0.5333333333333333,0.5222222222222221,0.052821619217798724,0.62,0.040307460327149006,0.18407960199004975,4.227642501408248,-1.8568614602247386,6.084503961632986,-9.988019864207638,-14.215662365615886,-10.63205906368115,-8.77519760345641,6.425418322343201,3.3100364584551865,0.515147231261994,Fz
